full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Carlos Marín Tomás,23,856425600,La Liga,2019/2020,Goalkeeper,Real Betis,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carlos Neva Tey,24,834562800,La Liga,2019/2020,Defender,Granada CF,2211,1277,934,Spain,26,15,11,0,0,0,1,1,0,0,0,9,7,2,27,12,15,2,0,0.04,0.04,0,0,0,0,1.1,82,85,1106,2211,0.08,433,222,71,23
Carlos Soler,23,852192000,La Liga,2019/2020,Midfielder,Valencia CF,2074,1108,966,Spain,28,14,14,2,2,0,0,0,0,0,0,5,5,0,28,5,23,4,0,0.09,0,0.09,0.16,0,1037,1.22,74,74,519,0,0.17,162,338,-1,6
Casemiro,27,752400000,La Liga,2019/2020,Defender,Real Madrid,3091,1500,1591,Luxembourg,35,17,18,4,3,1,3,1,2,0,0,17,9,8,21,10,11,12,0,0.2,0.09,0.12,0.18,0.06,773,0.61,147,88,258,1030,0.35,142,142,11,4
Charles,36,449913600,La Liga,2019/2020,Forward,SD Eibar,1294,751,543,Brazil,30,17,13,6,3,3,0,0,0,1,1,9,6,3,23,13,10,8,0,0.42,0,0.42,0.36,0.5,216,1.6,56,43,162,0,0.56,22,273,-1,2
Chema,28,699609600,La Liga,2019/2020,Defender,Getafe CF,308,270,38,Spain,4,3,1,0,0,0,0,0,0,0,0,2,1,1,4,4,0,4,0,0,0,0,0,0,0,1.17,77,77,77,0,1.17,313,274,86,25
Chidozie Awaziem,23,852105600,La Liga,2019/2020,Defender,Leganés,1994,1014,980,Nigeria,26,12,14,0,0,0,0,0,0,0,0,7,4,3,29,14,15,10,0,0,0,0,0,0,0,1.31,69,77,199,0,0.45,293,292,119,13
Christian Rivera Hernández,23,868431600,La Liga,2019/2020,Midfielder,Leganés,309,187,122,Spain,5,3,2,0,0,0,0,0,0,0,0,2,2,0,7,2,5,3,0,0,0,0,0,0,0,2.04,44,62,103,0,0.87,330,312,-1,17
Clément Lenglet,25,803372400,La Liga,2019/2020,Defender,FC Barcelona,2428,1260,1168,France,28,14,14,2,1,1,1,0,1,0,0,12,6,6,25,10,15,11,2,0.11,0.04,0.07,0.07,0.08,1214,0.93,97,87,221,2428,0.41,198,213,47,10
Cristian Rivero Sabater,22,890467200,La Liga,2019/2020,Goalkeeper,Valencia CF,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cristian Tello,29,681894000,La Liga,2019/2020,Forward,Real Betis,770,245,525,Spain,27,12,15,2,2,0,0,0,0,0,0,3,2,1,15,2,13,1,0,0.23,0,0.23,0.73,0,385,1.75,51,29,770,0,0.12,73,409,-1,8
Cristiano Piccini,28,717490800,La Liga,2019/2020,Defender,Valencia CF,75,8,67,Italy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.2,75,38,0,0,0,-1,-1,-1,25
Damián Suárez,32,578127600,La Liga,2019/2020,Defender,Getafe CF,2598,1311,1287,Uruguay,30,15,15,1,0,1,4,0,4,0,0,11,6,5,24,13,11,16,1,0.17,0.14,0.03,0,0.07,2598,0.83,108,87,153,650,0.59,252,93,29,13
Dani García,30,643532400,La Liga,2019/2020,Midfielder,Athletic Club Bilbao,3027,1526,1501,Spain,36,18,18,0,0,0,1,0,1,0,0,12,8,4,32,11,21,11,0,0.03,0.03,0,0,0,0,0.95,95,84,275,3027,0.33,339,241,-1,23
Daniel Cárdenas Lindez,23,859536000,La Liga,2019/2020,Goalkeeper,Levante UD,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Carriço,32,586681200,La Liga,2019/2020,Defender,Sevilla FC,849,307,542,Portugal,11,4,7,0,0,0,0,0,0,0,0,4,0,4,9,5,4,3,0,0,0,0,0,0,0,0.95,94,77,283,0,0.32,378,427,49,19
Daniel Carvajal Ramos,28,695116800,La Liga,2019/2020,Defender,Real Madrid,2741,1481,1260,Spain,31,17,14,1,0,1,5,3,2,0,0,16,9,7,18,10,8,11,0,0.2,0.16,0.03,0,0.07,2741,0.59,152,88,249,548,0.36,247,80,9,17
Daniel José Rodríguez Vázquez,32,581583600,La Liga,2019/2020,Midfielder,RCD Mallorca,3048,1570,1478,Spain,37,19,18,5,3,2,2,2,0,1,0,5,5,0,58,20,38,7,0,0.21,0.06,0.15,0.17,0.12,610,1.71,53,82,435,1524,0.21,123,195,-1,3
Daniel Martín Fernández,22,899881200,La Liga,2019/2020,Goalkeeper,Real Betis,530,260,270,Spain,6,3,3,0,0,0,0,0,0,0,0,1,1,0,12,4,8,0,0,0,0,0,0,0,0,2.04,44,88,0,0,0,386,395,180,15
Daniel Morer Cabrera,22,886665600,La Liga,2019/2020,Defender,FC Barcelona,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Parejo,31,608713200,La Liga,2019/2020,Midfielder,Valencia CF,3030,1408,1622,Spain,35,16,19,8,5,3,3,3,0,5,1,6,5,1,45,12,33,6,1,0.33,0.09,0.24,0.32,0.17,379,1.34,67,87,505,1010,0.18,70,150,-1,2
Daniel Rebollo Franco,20,944812800,La Liga,2019/2020,Goalkeeper,Real Betis,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Torres,30,627120000,La Liga,2019/2020,Midfielder,Deportivo Alavés,0,0,0,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Villahermosa Martínez,19,978422400,La Liga,2019/2020,Midfielder,RCD Espanyol,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Vivian Moreno,21,931158000,La Liga,2019/2020,Defender,Athletic Club Bilbao,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Wass,31,612601200,La Liga,2019/2020,Midfielder,Valencia CF,2731,1263,1468,Denmark,35,18,17,1,1,0,6,5,1,0,0,7,6,1,36,6,30,7,0,0.23,0.2,0.03,0.07,0,2731,1.19,76,78,390,455,0.23,257,48,-1,11
Darío Poveda Romera,23,858240000,La Liga,2019/2020,Forward,Atlético Madrid,7,0,7,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,18
Darko Brašanac,28,697881600,La Liga,2019/2020,Midfielder,CA Osasuna,2251,1181,1070,Serbia,31,16,15,0,0,0,1,0,1,0,0,10,5,5,30,16,14,8,0,0.04,0.04,0,0,0,0,1.2,75,73,281,2251,0.32,413,214,-1,28
Darwin Daniel Machís Marcano,27,729072000,La Liga,2019/2020,Forward,Granada CF,2126,977,1149,Venezuela,36,18,18,7,3,4,5,2,3,1,0,12,7,5,28,12,16,5,0,0.51,0.21,0.3,0.28,0.31,304,1.19,76,59,425,425,0.21,48,42,-1,4
David Costas Cordal,25,796204800,La Liga,2019/2020,Defender,Celta de Vigo,335,180,155,Spain,6,2,4,0,0,0,0,0,0,0,0,0,0,0,9,4,5,1,0,0,0,0,0,0,0,2.42,37,56,335,0,0.27,415,318,186,28
David García Zubiría,26,761212800,La Liga,2019/2020,Defender,CA Osasuna,2792,1350,1442,Spain,32,15,17,0,0,0,0,0,0,0,0,10,5,5,44,25,19,7,0,0,0,0,0,0,0,1.42,63,87,399,0,0.23,349,349,142,30
David Juncà,26,753436800,La Liga,2019/2020,Defender,Celta de Vigo,259,0,259,Spain,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,0,0,0,2.08,43,86,259,0,0.35,-1,-1,-1,16
David López,31,623919600,La Liga,2019/2020,Defender,RCD Espanyol,2462,1204,1258,Spain,32,16,16,4,2,2,2,2,0,0,0,5,3,2,36,18,18,5,1,0.22,0.07,0.15,0.15,0.14,616,1.32,68,77,492,1231,0.18,122,179,126,1
David Ramos Guillén,23,871714800,La Liga,2019/2020,Midfielder,Real Betis,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
David Soria,27,733910400,La Liga,2019/2020,Goalkeeper,Getafe CF,3420,1710,1710,Spain,38,19,19,0,0,0,0,0,0,0,0,15,8,7,34,18,16,2,0,0,0,0,0,0,0,0.89,101,90,1710,0,0.05,423,400,38,21
David Timor Copoví,31,624610800,La Liga,2019/2020,Midfielder,Getafe CF,937,435,502,Spain,22,10,12,3,2,1,0,0,0,0,0,10,4,6,10,6,4,4,0,0.29,0,0.29,0.41,0.18,312,0.96,94,43,234,0,0.38,51,298,-1,4
David Zurutuza,34,522140400,La Liga,2019/2020,Midfielder,Real Sociedad,156,7,149,Spain,5,1,4,0,0,0,0,0,0,0,0,2,1,1,3,0,3,1,0,0,0,0,0,0,0,1.73,52,31,156,0,0.58,-1,-1,-1,21
Denis Cheryshev,29,662198400,La Liga,2019/2020,Midfielder,Valencia CF,919,219,700,Russia,24,11,13,1,0,1,2,0,2,0,0,5,4,1,17,1,16,5,0,0.29,0.2,0.1,0,0.13,919,1.66,54,38,184,460,0.49,157,47,-1,12
Denis Suárez,26,757843200,La Liga,2019/2020,Midfielder,Celta de Vigo,1637,916,721,Spain,26,13,13,1,0,1,5,3,2,0,1,9,6,3,20,9,11,3,0,0.33,0.27,0.05,0,0.12,1637,1.1,82,63,546,327,0.16,216,18,-1,8
Deyverson Brum Silva Acosta,29,673686000,La Liga,2019/2020,Forward,Getafe CF,205,71,134,Brazil,5,2,3,0,0,0,1,0,1,0,0,3,1,2,1,1,0,2,0,0.44,0.44,0,0,0,0,0.44,205,41,103,205,0.88,-1,-1,-1,17
Dídac Vilá Rosselló,31,613378800,La Liga,2019/2020,Defender,RCD Espanyol,2494,1143,1351,Spain,30,14,16,0,0,0,0,0,0,0,0,6,3,3,39,19,20,9,0,0,0,0,0,0,0,1.41,64,83,277,0,0.32,353,416,137,30
Diego Alende López,23,872492400,La Liga,2019/2020,Defender,Real Valladolid,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Altube Suárez,20,951206400,La Liga,2019/2020,Goalkeeper,Real Madrid,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Carlos,27,732182400,La Liga,2019/2020,Defender,Sevilla FC,3135,1530,1605,Brazil,35,17,18,2,1,1,0,0,0,0,0,16,9,7,30,11,19,7,0,0.06,0,0.06,0.06,0.06,1568,0.86,105,90,448,0,0.2,207,428,32,10
Diego Da Silva Costa,32,592210800,La Liga,2019/2020,Forward,Atlético Madrid,1350,593,757,Spain,23,12,11,5,3,2,4,3,1,2,1,11,6,5,8,3,5,5,0,0.6,0.27,0.33,0.46,0.24,270,0.53,169,59,270,338,0.33,42,16,-1,4
Diego Lainez Leyva,20,960534000,La Liga,2019/2020,Forward,Real Betis,338,141,197,Mexico,15,6,9,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,1.33,68,23,0,0,0,390,382,-1,21
Diego Llorente,27,745484400,La Liga,2019/2020,Defender,Real Sociedad,2330,1231,1099,Spain,29,15,14,1,0,1,1,1,0,0,0,6,4,2,31,15,16,7,1,0.08,0.04,0.04,0,0.08,2330,1.2,75,80,333,2330,0.27,243,225,96,11
Diego López Rodríguez,38,373622400,La Liga,2019/2020,Goalkeeper,RCD Espanyol,3233,1530,1703,Spain,36,17,19,0,0,0,0,0,0,0,0,4,1,3,54,29,25,5,1,0,0,0,0,0,0,1.5,60,90,647,0,0.14,354,415,157,21
Dimitri Foulquier,27,732873600,La Liga,2019/2020,Defender,Granada CF,1114,429,685,France,17,8,9,1,0,1,0,0,0,0,0,5,2,3,12,6,6,4,0,0.08,0,0.08,0,0.13,1114,0.97,93,66,279,0,0.32,179,300,53,13
Dimitrios Siovas,32,590396400,La Liga,2019/2020,Defender,Leganés,1922,951,971,Greece,24,11,13,0,0,0,0,0,0,0,0,6,3,3,23,13,10,7,0,0,0,0,0,0,0,1.08,84,80,275,0,0.33,299,370,66,16
Djene Dakonam,28,694166400,La Liga,2019/2020,Defender,Getafe CF,3060,1440,1620,Togo,34,16,18,0,0,0,0,0,0,0,0,13,6,7,31,17,14,5,0,0,0,0,0,0,0,0.91,99,90,612,0,0.15,419,404,41,24
Domingos Sousa Coutinho Meneses Duarte,25,794822400,La Liga,2019/2020,Defender,Granada CF,3086,1530,1556,Portugal,36,17,19,3,1,2,1,0,1,0,0,13,8,5,38,13,25,7,0,0.12,0.03,0.09,0.06,0.12,1029,1.11,81,86,441,3086,0.2,165,242,75,6
Dragan Rosić,23,848044800,La Liga,2019/2020,Goalkeeper,Celta de Vigo,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eden Hazard,29,663235200,La Liga,2019/2020,Midfielder,Real Madrid,1087,717,370,Belgium,16,11,5,1,1,0,3,3,0,0,0,9,5,4,4,4,0,0,0,0.33,0.25,0.08,0.13,0,1087,0.33,272,68,0,362,0,187,29,-1,19
Éder Gabriel Militão,22,885110400,La Liga,2019/2020,Defender,Real Madrid,1018,448,570,Brazil,15,8,7,0,0,0,0,0,0,0,0,7,5,2,9,2,7,3,0,0,0,0,0,0,0,0.8,113,68,339,0,0.27,277,429,24,23
Edgar Antonio Méndez Ortega,29,672994800,La Liga,2019/2020,Midfielder,Deportivo Alavés,865,380,485,Spain,16,8,8,1,1,0,0,0,0,0,0,2,2,0,18,7,11,3,0,0.1,0,0.1,0.24,0,865,1.87,48,54,288,0,0.31,159,269,-1,9
Édgar González Estrada,23,859881600,La Liga,2019/2020,Defender,Real Betis,687,443,244,Spain,10,7,3,0,0,0,0,0,0,0,0,1,1,0,9,6,3,3,0,0,0,0,0,0,0,1.18,76,69,229,0,0.39,335,301,90,26
Edinaldo Gomes Pereira,32,588495600,La Liga,2019/2020,Defender,RCD Espanyol,1332,575,757,Brazil,18,8,10,0,0,0,1,0,1,0,0,3,1,2,21,12,9,8,1,0.07,0.07,0,0,0,0,1.42,63,74,167,1332,0.54,351,187,146,28
Eduardo Expósito Jaén,24,838882800,La Liga,2019/2020,Midfielder,SD Eibar,2310,1158,1152,Spain,35,17,18,4,2,2,1,1,0,1,1,10,5,5,32,13,19,3,0,0.19,0.04,0.16,0.16,0.16,578,1.25,72,66,770,2310,0.12,113,227,-1,4
Ekhi Bravo Díaz,22,880876800,La Liga,2019/2020,Forward,SD Eibar,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eliaquim Mangala,29,666432000,La Liga,2019/2020,Defender,Valencia CF,675,180,495,France,8,2,6,0,0,0,0,0,0,0,0,0,0,0,13,3,10,3,1,0,0,0,0,0,0,1.73,52,84,225,0,0.4,327,308,174,17
Eliseo Falcón Falcón,23,855648000,La Liga,2019/2020,Defender,Levante UD,74,74,0,Spain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,0,3.65,25,74,37,0,2.43,-1,-1,-1,18
Emerson Aparecido Leite de Souza Junior,21,916300800,La Liga,2019/2020,Defender,Real Betis,2841,1515,1326,Brazil,33,17,16,3,1,2,6,6,0,0,0,6,3,3,47,24,23,11,0,0.29,0.19,0.1,0.06,0.14,947,1.49,60,86,258,474,0.35,158,55,155,6
Enes Ünal,23,863247600,La Liga,2019/2020,Forward,Real Valladolid,2338,1195,1143,Turkey,35,18,17,6,4,2,2,1,1,2,1,10,7,3,25,8,17,4,0,0.31,0.08,0.23,0.3,0.16,390,0.96,94,67,585,1169,0.15,72,165,-1,2
Enis Bardhi,25,804668400,La Liga,2019/2020,Midfielder,Levante UD,2114,908,1206,FYR Macedonia,30,14,16,7,2,5,2,2,0,0,0,4,3,1,34,12,22,5,0,0.38,0.09,0.3,0.2,0.37,302,1.45,62,70,423,1057,0.21,46,149,-1,3
Enric Gallego Puigsech,34,526892400,La Liga,2019/2020,Forward,CA Osasuna,1054,551,503,Spain,19,8,11,3,3,0,0,0,0,0,0,6,2,4,11,9,2,6,1,0.26,0,0.26,0.49,0,351,0.94,96,55,151,0,0.6,59,407,-1,5
Enrique Barja Afonso,23,859881600,La Liga,2019/2020,Forward,CA Osasuna,313,221,92,Spain,8,5,3,0,0,0,1,0,1,0,0,3,2,1,4,2,2,0,0,0.29,0.29,0,0,0,0,1.15,78,39,0,313,0,322,15,-1,21
Enrique González Casín,30,642841200,La Liga,2019/2020,Forward,SD Eibar,481,231,250,Spain,15,8,7,0,0,0,1,1,0,0,0,3,2,1,8,3,5,0,0,0.19,0.19,0,0,0,0,1.5,60,32,0,481,0,280,52,-1,21
Enrique Pérez Muñoz,23,855907200,La Liga,2019/2020,Midfielder,Real Valladolid,215,102,113,Spain,6,3,3,0,0,0,0,0,0,0,0,1,1,0,4,1,3,1,0,0,0,0,0,0,0,1.67,54,36,215,0,0.42,-1,-1,-1,18
Erick Cathriel Cabaco Almada,25,798274800,La Liga,2019/2020,Defender,Getafe CF,1076,542,534,Uruguay,15,9,6,0,0,0,0,0,0,0,0,5,4,1,11,5,6,4,0,0,0,0,0,0,0,0.92,98,72,269,0,0.33,355,414,45,18
Esteban Félix Granero Molina,33,552207600,La Liga,2019/2020,Midfielder,RCD Espanyol,471,202,269,Spain,11,5,6,1,0,1,0,0,0,0,0,1,0,1,11,5,6,5,0,0.19,0,0.19,0,0.33,471,2.1,43,43,94,0,0.96,93,424,-1,12
Esteban Rodrigo Burgos,28,694944000,La Liga,2019/2020,Defender,SD Eibar,1115,320,795,Argentina,15,5,10,1,1,0,0,0,0,0,0,5,2,3,15,2,13,3,0,0.08,0,0.08,0.28,0,1115,1.21,74,74,372,0,0.24,181,309,98,9
Éver Banega,32,583570800,La Liga,2019/2020,Midfielder,Sevilla FC,2482,1245,1237,Argentina,33,16,17,3,0,3,7,3,4,2,0,13,7,6,28,11,17,10,0,0.36,0.25,0.11,0,0.22,827,1.02,89,75,248,355,0.36,150,30,-1,6
Ezequiel Garay,34,529311600,La Liga,2019/2020,Defender,Valencia CF,1439,763,676,Argentina,17,9,8,0,0,0,0,0,0,0,0,5,4,1,17,3,14,2,0,0,0,0,0,0,0,1.06,85,85,720,0,0.13,342,419,64,24
Fabián Ariel Orellana Valenzuela,34,507196800,La Liga,2019/2020,Midfielder,SD Eibar,2398,1298,1100,Chile,29,15,14,8,6,2,7,4,3,4,1,7,4,3,44,21,23,10,1,0.56,0.26,0.3,0.42,0.16,300,1.65,55,83,218,343,0.41,47,22,-1,1
Fabricio Martín Agosto Ramírez,32,567936000,La Liga,2019/2020,Goalkeeper,RCD Mallorca,90,0,90,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,45,90,90,0,1,-1,-1,-1,12
Facundo Ferreyra,29,668937600,La Liga,2019/2020,Forward,RCD Espanyol,567,233,334,Argentina,16,7,9,1,0,1,0,0,0,0,0,4,1,3,8,4,4,2,0,0.16,0,0.16,0,0.27,567,1.27,71,35,284,0,0.32,119,421,-1,9
Facundo Roncaglia,33,539942400,La Liga,2019/2020,Defender,CA Osasuna,1282,580,702,Argentina,16,7,9,1,1,0,0,0,0,0,0,4,2,2,19,9,10,5,2,0.07,0,0.07,0.16,0,1282,1.33,67,80,214,0,0.42,192,262,128,11
Fayçal Fajr,32,586422000,La Liga,2019/2020,Forward,Getafe CF,401,200,201,Morocco,10,4,6,0,0,0,0,0,0,0,0,2,0,2,6,4,2,2,0,0,0,0,0,0,0,1.35,67,40,201,0,0.45,430,405,-1,23
Federico Barba,27,746866800,La Liga,2019/2020,Defender,Real Valladolid,450,90,360,Italy,5,1,4,0,0,0,0,0,0,0,0,1,1,0,12,0,12,3,0,0,0,0,0,0,0,2.4,38,90,150,0,0.6,283,284,185,12
Federico San Emeterio Díaz,23,858499200,La Liga,2019/2020,Midfielder,Real Valladolid,1752,871,881,Spain,25,13,12,0,0,0,0,0,0,0,0,8,5,3,15,6,9,4,0,0,0,0,0,0,0,0.77,117,70,438,0,0.21,402,278,-1,22
Federico Valverde,22,901090800,La Liga,2019/2020,Midfielder,Real Madrid,1906,992,914,Uruguay,33,15,18,2,1,1,5,2,3,0,0,18,10,8,12,5,7,1,0,0.33,0.24,0.09,0.09,0.1,953,0.57,159,58,1906,381,0.05,163,34,-1,9
Federico Vico Villegas,26,773305200,La Liga,2019/2020,Midfielder,Granada CF,879,480,399,Spain,18,10,8,2,1,1,1,1,0,1,0,6,2,4,14,8,6,1,0,0.31,0.1,0.2,0.19,0.23,440,1.43,63,49,879,879,0.1,90,129,-1,9
Felipe Augusto de Almeida Monteiro,31,611305200,La Liga,2019/2020,Defender,Atlético Madrid,2099,1018,1081,Brazil,25,12,13,1,1,0,0,0,0,0,0,9,5,4,18,8,10,7,0,0.04,0,0.04,0.09,0,2099,0.77,117,84,300,0,0.3,235,306,20,11
Felipe Rodríguez Chacartegui,22,888220800,La Liga,2019/2020,Defender,Sevilla FC,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ferland Mendy,25,802594800,La Liga,2019/2020,Defender,Real Madrid,1804,962,842,France,25,13,12,1,0,1,2,2,0,0,0,13,8,5,11,4,7,8,1,0.15,0.1,0.05,0,0.11,1804,0.55,164,72,226,902,0.4,226,131,3,18
Fernando Calero Villa,25,811062000,La Liga,2019/2020,Defender,RCD Espanyol,1044,496,548,Spain,15,7,8,0,0,0,0,0,0,0,0,1,0,1,20,13,7,5,1,0,0,0,0,0,0,1.72,52,70,174,0,0.52,382,411,173,22
Fernando Francisco Reges,33,554194800,La Liga,2019/2020,Midfielder,Sevilla FC,2657,1338,1319,Brazil,34,16,18,2,1,1,3,0,3,0,0,15,7,8,27,11,16,13,0,0.17,0.1,0.07,0.07,0.07,1329,0.91,98,78,204,886,0.44,189,134,-1,9
Fernando Niño Rodriguez,20,972370800,La Liga,2019/2020,Forward,Villarreal,80,78,2,Spain,5,3,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1.13,0,1.13,0,45,80,1.13,80,16,80,0,1.13,-1,-1,-1,15
Fernando Pacheco,28,706172400,La Liga,2019/2020,Goalkeeper,Deportivo Alavés,2359,1260,1099,Spain,27,14,13,0,0,0,0,0,0,0,0,6,4,2,36,12,24,1,1,0,0,0,0,0,0,1.37,66,87,1180,0,0.08,432,340,132,15
Ferran Jutlgà Blanc,21,917856000,La Liga,2019/2020,Midfielder,RCD Espanyol,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ferrán Torres García,20,951811200,La Liga,2019/2020,Forward,Valencia CF,2258,1137,1121,Spain,34,17,17,4,2,2,5,2,3,0,0,8,7,1,28,6,22,4,0,0.36,0.2,0.16,0.16,0.16,565,1.12,81,66,565,452,0.16,111,46,-1,4
Filip Bradarić,27,737794800,La Liga,2019/2020,Midfielder,Celta de Vigo,705,264,441,Croatia,14,8,6,0,0,0,0,0,0,0,0,5,2,3,10,3,7,3,1,0,0,0,0,0,0,1.28,71,50,176,0,0.51,307,258,-1,14
Florent Poulolo,23,852192000,La Liga,2019/2020,Defender,Getafe CF,0,0,0,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francis Coquelin,29,674118000,La Liga,2019/2020,Midfielder,Valencia CF,1908,1061,847,France,26,14,12,0,0,0,0,0,0,0,0,6,5,1,26,6,20,8,1,0,0,0,0,0,0,1.23,73,73,239,0,0.38,320,346,-1,26
Francisco Barbosa Vieites,21,926060400,La Liga,2019/2020,Goalkeeper,Celta de Vigo,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francisco Gámez López,29,680598000,La Liga,2019/2020,Defender,RCD Mallorca,1765,812,953,Spain,23,10,13,0,0,0,1,0,1,0,0,3,3,0,32,10,22,5,0,0.05,0.05,0,0,0,0,1.63,55,77,353,1765,0.25,271,205,167,19
Francisco Gonzalez Verjara,22,902991600,La Liga,2019/2020,Midfielder,RCD Mallorca,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francisco Javier Campos Coll,38,384595200,La Liga,2019/2020,Defender,RCD Mallorca,468,198,270,Spain,9,6,3,0,0,0,1,0,1,0,0,1,1,0,12,4,8,2,0,0.19,0.19,0,0,0,0,2.31,39,52,234,468,0.38,274,56,184,25
Francisco José Beltrán Peinado,21,918028800,La Liga,2019/2020,Midfielder,Celta de Vigo,1834,982,852,Spain,28,16,12,1,1,0,0,0,0,0,0,10,6,4,20,11,9,3,1,0.05,0,0.05,0.09,0,1834,0.98,92,66,459,0,0.2,217,406,-1,13
Francisco José Olivas Alba,32,588150000,La Liga,2019/2020,Defender,Real Valladolid,2942,1380,1562,Spain,35,17,18,2,0,2,0,0,0,0,0,10,6,4,35,11,24,2,0,0.06,0,0.06,0,0.12,1471,1.07,84,84,1471,0,0.06,214,385,65,6
Francisco Mérida Pérez,30,636537600,La Liga,2019/2020,Midfielder,CA Osasuna,1160,695,465,Spain,23,12,11,0,0,0,1,1,0,0,0,5,2,3,22,13,9,9,1,0.08,0.08,0,0,0,0,1.71,53,50,129,1160,0.7,412,167,-1,22
Francisco Portillo,30,645260400,La Liga,2019/2020,Midfielder,Getafe CF,365,204,161,Spain,16,10,6,0,0,0,2,2,0,0,0,4,3,1,1,1,0,3,0,0.49,0.49,0,0,0,0,0.25,365,23,122,183,0.74,438,2,-1,20
Franco Vázquez,31,604137600,La Liga,2019/2020,Forward,Sevilla FC,1087,699,388,Italy,31,18,13,3,3,0,0,0,0,0,0,13,8,5,14,10,4,5,0,0.25,0,0.25,0.39,0,362,1.16,78,35,217,0,0.41,62,434,-1,7
